seed,model,accuracy,f1,precision,recall,auc,sharpe,max_dd,ann_ret
2024,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5779971181556196,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
2024,Neural Network,0.5327978580990629,0.32755298651252407,0.7142857142857143,0.2125,0.604963976945245,-0.07501230144771741,-0.1826803327712611,-0.017574060002740977
2024,"VQC (4q,1r)",0.5502008032128514,0.4418604651162791,0.6584158415841584,0.3325,0.5502008032128514,0.4062004508550686,-0.1509160636906492,0.044667035119545284
3333,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
3333,Random Forest,0.5207496653279786,0.2782258064516129,0.71875,0.1725,0.600021613832853,-1.0484443419566152,-0.4043122204389475,-0.13219042137615855
3333,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
3333,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.578007925072046,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
3333,Neural Network,0.5247657295850067,0.3993231810490694,0.6178010471204188,0.295,0.5830835734870317,0.3729413209941673,-0.15821796575133562,0.040274613993113384
3333,"VQC (4q,1r)",0.48728246318607765,0.48590604026845635,0.5246376811594203,0.4525,0.48728246318607765,-0.09594775156972996,-0.21020190973160993,-0.02021088215364031
4444,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
4444,Random Forest,0.5046854082998661,0.26,0.65,0.1625,0.5991354466858789,-1.251027296254415,-0.4406016791540918,-0.15418998324846156
4444,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
4444,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.5780403458213257,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
4444,Neural Network,0.571619812583668,0.4684385382059801,0.698019801980198,0.3525,0.6087103746397694,-1.5055960489404219,-0.46699628623610034,-0.18095519956254413
4444,"VQC (4q,1r)",0.4886211512717537,0.5463182897862233,0.5203619909502263,0.575,0.4886211512717537,0.09116316861485277,-0.17951189228267722,0.0034995284273029448
5555,Logistic Regression,0.5153949129852744,0.3143939393939394,0.6484375,0.2075,0.5403962536023055,1.160725185181302,-0.13760450292560425,0.14993049438303108
5555,Random Forest,0.5220883534136547,0.2729124236252546,0.7362637362637363,0.1675,0.6043876080691644,-1.123157527906234,-0.39962449802565475,-0.14037357215183766
5555,XGBoost,0.5020080321285141,0.21518987341772153,0.6891891891891891,0.1275,0.5141210374639769,-1.231625768177882,-0.4368374942198403,-0.15208918226352397
5555,SVM (RBF),0.5287817938420348,0.3972602739726027,0.6304347826086957,0.29,0.578007925072046,-2.4087164932357057,-0.6185688523364835,-0.2682630642214622
5555,Neural Network,0.499330655957162,0.22083333333333333,0.6625,0.1325,0.5603746397694525,-1.242412121320163,-0.41484928020633927,-0.1532550527352926
5555,"VQC (4q,1r)",0.5381526104417671,0.4444444444444444,0.6244343891402715,0.345,0.5381526104417671,0.07582850670131167,-0.17092689494977428,0.0015349764967556023
